SPA,1SPATIAL PLC
CYN,CQS NATURAL RESOURCES GROWTH AND INCOME PLC
NCYF,CQS NEW CITY HIGH YIELD FUND LIMITED
CRW,CRANEWARE PLC
CWK,CRANSWICK PLC
CRV,CRAVEN HOUSE CAPITAL PLC
CRL,CREIGHTONS PLC
CREO,CREO MEDICAL GROUP PLC
LOAD,CRESTCHIC PLC
CRST,CREST NICHOLSON HOLDINGS PLC
97GM,CRH PLC
CRH,CRH PLC
TIDE,CRIMSON TIDE PLC
CRTM,CRITICAL METALS PLC
49GP,CRODA INTERNATIONAL PLC
50GP,CRODA INTERNATIONAL PLC
CRDA,CRODA INTERNATIONAL PLC
CSSG,CROMA SECURITY SOLUTIONS GROUP PLC
CRPR,CROPPER (JAMES) PLC
CCS,CROSSWORD CYBERSECURITY PLC
CRWN,CROWN PLACE VCT PLC
CRS,CRYSTAL AMBER FUND LIMITED
CTA,CT AUTOMOTIVE GROUP PLC
CMPG,CT GLOBAL MANAGED PORTFOLIO TRUST PLC
CMPI,CT GLOBAL MANAGED PORTFOLIO TRUST PLC
CTPE,CT PRIVATE EQUITY TRUST PLC
CTPT,CT PROPERTY TRUST LIMITED
CTUK,CT UK CAPITAL AND INCOME INVESTMENT TRUST PLC
CHI,CT UK HIGH INCOME TRUST PLC
CHIB,CT UK HIGH INCOME TRUST PLC
CHIU,CT UK HIGH INCOME TRUST PLC
CURY,CURRYS PLC
CBP,CURTIS BANKS GROUP PLC
CZN,CURZON ENERGY PLC
CREI,CUSTODIAN REIT PLC
CVCE,CVC INCOME & GROWTH LIMITED
CVCG,CVC INCOME & GROWTH LIMITED
CVSG,CVS GROUP PLC
CYAN,CYANCONNODE HOLDINGS PLC
D4T4,D4T4 SOLUTIONS PLC
DAL,DALATA HOTEL GROUP PLC
DARK,DARKTRACE PLC
DAT,DATANG INTERNATIONAL POWER GENERATION COMPANY LD
DVT,DAVICTUS PLC
DCC,DCC PLC
DPH,DECHRA PHARMACEUTICALS PLC
DMTR,DEEPMATTER GROUP PLC
DVRG,DEEPVERGE PLC
DKL,DEKEL AGRI-VISION PLC
DLAR,DE LA RUE PLC
ROO,DELIVEROO PLC
DEMG,DELTEX MEDICAL GROUP PLC
DELT,DELTIC ENERGY PLC
DLN,DERWENT LONDON PLC
DEST,DESTINY PHARMA PLC
DEV,DEV CLEVER HOLDINGS PLC
DVNO,DEVELOP NORTH PLC
DEVO,"DEVOLVER DIGITAL, INC."
DVO,DEVRO PLC
DWHA,DEWHURST GROUP PLC
DWHT,DEWHURST GROUP PLC
DFI,DFI RETAIL GROUP HOLDINGS LIMITED
DFIB,DFI RETAIL GROUP HOLDINGS LIMITED
DFIJ,DFI RETAIL GROUP HOLDINGS LIMITED
DFS,DFS FURNITURE PLC
DGI,DG INNOVATE PLC
DXRX,DIACEUTICS PLC
DGE,DIAGEO PLC
DGED,DIAGEO PLC
DIA,DIALIGHT PLC
DSI,DIAL SQUARE INVESTMENTS PLC
DNM,DIANOMI PLC
DGI9,DIGITAL 9 INFRASTRUCTURE PLC
DBOX,DIGITALBOX PLC
DTY,DIGNITY PLC
DSG,DILLISTONE GROUP PLC
DPLM,DIPLOMA PLC
DCTA,DIRECTA PLUS PLC
DLG,DIRECT LINE INSURANCE GROUP PLC
DSCV,DISCOVERIE GROUP PLC
DTVL,DISH TV INDIA LIMITED
DIS,DISTIL PLC
DFCH,DISTRIBUTION FINANCE CAPITAL HOLDINGS PLC
DIVI,DIVERSE INCOME TRUST (THE) PLC
DEC,DIVERSIFIED ENERGY COMPANY PLC
DCI,DOLPHIN CAPITAL INVESTORS LIMITED
DOM,DOMINO'S PIZZA GROUP PLC
DNA,DORIC NIMROD AIR ONE LIMITED
DNA3,DORIC NIMROD AIR THREE LIMITED
DNA2,DORIC NIMROD AIR TWO LIMITED
DOTD,DOTDIGITAL GROUP PLC
DORE,DOWNING RENEWABLES & INFRASTRUCTURE TRUST PLC
DSM,DOWNING STRATEGIC MICRO-CAP INVESTMENT TRUST PLC
DPA,DP AIRCRAFT I LIMITED
DPEU,DP EURASIA N.V.
DPP,DP POLAND PLC
DRX,DRAX GROUP PLC
DRV,DRIVER GROUP PLC
DOCS,DR. MARTENS PLC
DRUM,DRUMZ PLC
DSW,DSW CAPITAL PLC
DKE,DUKEMOUNT CAPITAL PLC
DUKE,DUKE ROYALTY LIMITED
DNE,DUNEDIN ENTERPRISE INVESTMENT TRUST PLC
DIG,DUNEDIN INCOME GROWTH INVESTMENT TRUST PLC
DNLM,DUNELM GROUP PLC
DWF,DWF GROUP PLC
DX.,DX (GROUP) PLC
EYE,EAGLE EYE SOLUTIONS GROUP PLC
EISB,EAST IMPERIAL PLC
EST,EAST STAR RESOURCES PLC
EZJ,EASYJET PLC
EBQ,EBIQUITY PLC
ELLA,ECCLESIASTICAL INSURANCE OFFICE PLC
ECHO,ECHO ENERGY PLC
ECK,ECKOH PLC
EAH,ECO ANIMAL HEALTH GROUP PLC
ECO,ECO (ATLANTIC) OIL & GAS LTD
EGL,ECOFIN GLOBAL UTILITIES AND INFRASTRUCTURE TRUST PLC
RNEP,ECOFIN U.S. RENEWABLES INFRASTRUCTURE TRUST PLC
RNEW,ECOFIN U.S. RENEWABLES INFRASTRUCTURE TRUST PLC
ECOR,ECORA RESOURCES PLC
ECR,ECR MINERALS PLC
ECSC,ECSC GROUP PLC
EDEN,EDEN RESEARCH PLC
EDL,EDENVILLE ENERGY PLC
EDGH,EDGE PERFORMANCE VCT PLC
EDIN,EDINBURGH INVESTMENT TRUST PLC
EWI,EDINBURGH WORLDWIDE INVESTMENT TRUST PLC
EPIC,EDISTON PROPERTY INVESTMENT COMPANY PLC
66XD,EDITA FOOD INDUSTRIES S.A.E.
EFID,EDITA FOOD INDUSTRIES S.A.E.
EAAS,EENERGY GROUP PLC
BG79,EFG-HERMES HOLDING S.A.E.
EFGD,EFG-HERMES HOLDING S.A.E.
EDR,EGDON RESOURCES PLC
EJF0,EJF INVESTMENTS LTD
EJFI,EJF INVESTMENTS LTD
EKF,EKF DIAGNOSTICS HOLDINGS PLC
ELCO,ELECO PUBLIC LIMITED COMPANY
ELEG,ELECTRIC GUITAR PLC
ELM,ELEMENTIS PLC
ELIX,ELIXIRR INTERNATIONAL PLC
EMIS,EMIS GROUP PLC
EML,EMMERSON PLC
EEE,EMPIRE METALS LIMITED
ESP,EMPIRIC STUDENT PROPERTY PLC
EMR,EMPRESARIA GROUP PLC
EME,EMPYREAN ENERGY PLC
EDV,ENDEAVOUR MINING PLC
ETP,ENERAQUA TECHNOLOGIES PLC
ENOG,ENERGEAN PLC
EXR,ENGAGE XR HOLDINGS PLC
94PF,EN+ GROUP INTERNATIONAL PUBLIC JOINT-STOCK COMPANY
ENPL,EN+ GROUP INTERNATIONAL PUBLIC JOINT-STOCK COMPANY
ENQ,ENQUEST PLC
ENSI,ENSILICA PLC
ENT,ENTAIN PLC
NTQ,ENTEQ TECHNOLOGIES PLC
ENW,ENWELL ENERGY PLC
ESO,EPE SPECIAL OPPORTUNITIES LIMITED
ESOZ,EPE SPECIAL OPPORTUNITIES LIMITED
EPWN,EPWIN GROUP PLC
EQT,EQTEC PLC
EQLS,EQUALS GROUP PLC
ERGO,ERGOMED PLC
ESKN,ESKEN LIMITED
ESYS,ESSENSYS PLC
ESNT,ESSENTRA PLC
62UM,ETALON GROUP PLC
ETLN,ETALON GROUP PLC
ETX,E-THERAPEUTICS PLC
ENET,ETHERNITY NETWORKS LTD
EUA,EURASIA MINING PLC
ECEL,EUROCELL PLC
EUZ,EUROPA METALS LTD
EOG,EUROPA OIL & GAS (HOLDINGS) PLC
EAT,EUROPEAN ASSETS TRUST PLC
EMH,EUROPEAN METALS HOLDINGS LIMITED
EOT,EUROPEAN OPPORTUNITIES TRUST PLC
EVST,EVEREST GLOBAL PLC
EMAN,EVERYMAN MEDIA GROUP PLC
EVG,EVGEN PHARMA PLC
EVR,EVRAZ PLC
BGX,EXPAT ASSET MANAGEMENT EAD
EXPN,EXPERIAN PLC
67NW,EZZ STEEL COMPANY - S.A.E.
AEZD,EZZ STEEL COMPANY - S.A.E.
ADF,FACILITIES BY ADF PLC
FA17,FAIR OAKS INCOME LIMITED
FAIR,FAIR OAKS INCOME LIMITED
FLX,FALANX GROUP LIMITED
FOG,FALCON OIL & GAS LTD.
FHP,FANDANGO HOLDINGS PLC
FARN,FARON PHARMACEUTICALS OY
FBH,FBD HOLDINGS PLC
FCIT,F&C INVESTMENT TRUST PLC
FDM,FDM GROUP (HOLDINGS) PLC
FDP,FD TECHNOLOGIES PUBLIC LIMITED COMPANY
FEDA,FEDERAL BANK LIMITED (THE)
FEDS,FEDERAL BANK LIMITED (THE)
FDBK,FEEDBACK PLC
FERG,FERGUSON PLC
FXPO,FERREXPO PLC
FAR,FERRO-ALLOY RESOURCES LIMITED
FEVR,FEVERTREE DRINKS PLC
FAS,FIDELITY ASIAN VALUES PLC
FCSS,FIDELITY CHINA SPECIAL SITUATIONS PLC
FEML,FIDELITY EMERGING MARKETS LIMITED
FEV,FIDELITY EUROPEAN TRUST PLC
FJV,FIDELITY JAPAN TRUST PLC
FSV,FIDELITY SPECIAL VALUES PLC
FAPI,FIDELITY UCITS ICAV
FCAR,FIDELITY UCITS ICAV
FCLD,FIDELITY UCITS ICAV
FDHT,FIDELITY UCITS ICAV
FDOC,FIDELITY UCITS ICAV
FDRV,FIDELITY UCITS ICAV
FEMD,FIDELITY UCITS ICAV
FEME,FIDELITY UCITS ICAV
FEMI,FIDELITY UCITS ICAV
FEMQ,FIDELITY UCITS ICAV
FEMR,FIDELITY UCITS ICAV
FEMS,FIDELITY UCITS ICAV
FEQD,FIDELITY UCITS ICAV
FEQP,FIDELITY UCITS ICAV
FEUI,FIDELITY UCITS ICAV
FEUR,FIDELITY UCITS ICAV
FGLR,FIDELITY UCITS ICAV
FGLS,FIDELITY UCITS ICAV
FGQD,FIDELITY UCITS ICAV
FGQI,FIDELITY UCITS ICAV
FGQP,FIDELITY UCITS ICAV
FJPR,FIDELITY UCITS ICAV
FJPS,FIDELITY UCITS ICAV
FMTV,FIDELITY UCITS ICAV
FMVR,FIDELITY UCITS ICAV
FNRG,FIDELITY UCITS ICAV
FPXR,FIDELITY UCITS ICAV
FPXS,FIDELITY UCITS ICAV
FRNW,FIDELITY UCITS ICAV
FUQA,FIDELITY UCITS ICAV
FUSA,FIDELITY UCITS ICAV
FUSD,FIDELITY UCITS ICAV
FUSI,FIDELITY UCITS ICAV
FUSP,FIDELITY UCITS ICAV
FUSR,FIDELITY UCITS ICAV
FUSS,FIDELITY UCITS ICAV
FEMP,FIDELITY UCITS II ICAV
FGHY,FIDELITY UCITS II ICAV
FHYG,FIDELITY UCITS II ICAV
FHYP,FIDELITY UCITS II ICAV
FSED,FIDELITY UCITS II ICAV
FSEM,FIDELITY UCITS II ICAV
FSMF,FIDELITY UCITS II ICAV
FSMG,FIDELITY UCITS II ICAV
FSMP,FIDELITY UCITS II ICAV
FSMU,FIDELITY UCITS II ICAV
FIH,FIH GROUP PLC
BANK,FIINU PLC
FTC,FILTRONIC PLC
FINS,FINANCIALS ACQUISITION CORP
FXRU,FINEX FUNDS ICAV
FCAP,FINNCAP GROUP PLC
FIF,FINSBURY FOOD GROUP PLC
FGT,FINSBURY GROWTH & INCOME TRUST PLC
FINA,FINTECH ASIA LIMITED
FNTL,FINTEL PLC
FA.,FIREANGEL SAFETY TECHNOLOGY GROUP PLC
FRG,FIRERING STRATEGIC MINERALS PLC
FCM,FIRST CLASS METALS PLC
FGP,FIRSTGROUP PLC
FPO,FIRST PROPERTY GROUP PLC
1SN,FIRST TIN PLC
BLOK,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
CAPS,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
CESG,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
CIBR,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
DTRE,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
FBT,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
FBTU,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
FCBR,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
FCSG,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
FDIU,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
FDN,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
FDNI,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
FDNU,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
FEM,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
FEMU,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
FEUD,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
FEUZ,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
FEX,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
FEXD,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
FEXU,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
FGBL,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
FGOV,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
FGRD,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
FKU,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
FKUD,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
FPX,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
FPXE,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
FSKY,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
FTCS,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
FTEU,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
FTFX,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
FVD,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
FXGB,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
GINC,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
GRDU,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
IPXE,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
LEGR,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
NXTG,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
NXTU,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
QCLN,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
QCLU,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
SKYU,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
TRE,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
UINC,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
UIND,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
UNCU,FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY
FSJ,FISHER (JAMES) & SONS PLC
72GU,FISHGUARD & ROSSLARE RAILWAYS & HARBOURS COMPANY
FKE,FISKE PLC
81CM,FIX PRICE GROUP PLC
FIXP,FIX PRICE GROUP PLC
FLK,FLETCHER KING PLC
DFDU,FLEXSHARES ICAV
FLPE,FLEXSHARES ICAV
QDFD,FLEXSHARES ICAV
QVFD,FLEXSHARES ICAV
FLO,FLOWTECH FLUIDPOWER PLC
FLTR,FLUTTER ENTERTAINMENT PLC
TUNE,FOCUSRITE PLC
FP.,FONDUL PROPRIETATEA S.A.
FNX,FONIX MOBILE PLC
FTF,FORESIGHT ENTERPRISE VCT PLC
FSG,FORESIGHT GROUP HOLDINGS LIMITED
FSFL,FORESIGHT SOLAR FUND LIMITED
FTSV,FORESIGHT SOLAR & TECHNOLOGY VCT PLC
FWT,FORESIGHT SOLAR & TECHNOLOGY VCT PLC
FSF,FORESIGHT SUSTAINABLE FORESTRY COMPANY PLC
FTV,FORESIGHT VCT PLC
FORT,FORTERRA PLC
FWD,FORWARD PARTNERS GROUP PLC
FOX,FOX MARBLE HOLDINGS PLC
FOXT,FOXTONS GROUP PLC
FPP,FRAGRANT PROSPERITY HOLDINGS LIMITED
FRAN,FRANCHISE BRANDS PLC
500P,FRANKLIN LIBERTYSHARES ICAV
CHPA,FRANKLIN LIBERTYSHARES ICAV
CPRI,FRANKLIN LIBERTYSHARES ICAV
EMCV,FRANKLIN LIBERTYSHARES ICAV
EUPA,FRANKLIN LIBERTYSHARES ICAV
FLEQ,FRANKLIN LIBERTYSHARES ICAV
FLES,FRANKLIN LIBERTYSHARES ICAV
FLQA,FRANKLIN LIBERTYSHARES ICAV
FLRG,FRANKLIN LIBERTYSHARES ICAV
FLRK,FRANKLIN LIBERTYSHARES ICAV
FLUC,FRANKLIN LIBERTYSHARES ICAV
FLXB,FRANKLIN LIBERTYSHARES ICAV
FLXC,FRANKLIN LIBERTYSHARES ICAV
FLXD,FRANKLIN LIBERTYSHARES ICAV
FLXE,FRANKLIN LIBERTYSHARES ICAV
FLXG,FRANKLIN LIBERTYSHARES ICAV
FLXI,FRANKLIN LIBERTYSHARES ICAV
FLXK,FRANKLIN LIBERTYSHARES ICAV
FLXT,FRANKLIN LIBERTYSHARES ICAV
FLXU,FRANKLIN LIBERTYSHARES ICAV
FLXX,FRANKLIN LIBERTYSHARES ICAV
FRCH,FRANKLIN LIBERTYSHARES ICAV
FREM,FRANKLIN LIBERTYSHARES ICAV
FREQ,FRANKLIN LIBERTYSHARES ICAV
FRGD,FRANKLIN LIBERTYSHARES ICAV
FRGE,FRANKLIN LIBERTYSHARES ICAV
FRIN,FRANKLIN LIBERTYSHARES ICAV
FRQX,FRANKLIN LIBERTYSHARES ICAV
FRUC,FRANKLIN LIBERTYSHARES ICAV
FRUE,FRANKLIN LIBERTYSHARES ICAV
FRXD,FRANKLIN LIBERTYSHARES ICAV
FRXE,FRANKLIN LIBERTYSHARES ICAV
FRXT,FRANKLIN LIBERTYSHARES ICAV
FVUB,FRANKLIN LIBERTYSHARES ICAV
FVUG,FRANKLIN LIBERTYSHARES ICAV
METE,FRANKLIN LIBERTYSHARES ICAV
METU,FRANKLIN LIBERTYSHARES ICAV
PABC,FRANKLIN LIBERTYSHARES ICAV
PARI,FRANKLIN LIBERTYSHARES ICAV
USPA,FRANKLIN LIBERTYSHARES ICAV
FRAS,FRASERS GROUP PLC
FEN,FRENKEL TOPPING GROUP PLC
FRES,FRESNILLO PLC
FDEV,FRONTIER DEVELOPMENTS PLC
FIPP,FRONTIER IP GROUP PLC
FRP,FRP ADVISORY GROUP PLC
FCRM,FULCRUM UTILITY SERVICES LD
53GW,"FULLER, SMITH & TURNER PLC"
54GW,"FULLER, SMITH & TURNER PLC"
FSTA,"FULLER, SMITH & TURNER PLC"
FCH,FUNDING CIRCLE HOLDINGS PLC
EHEF,FUNDLOGIC ALTERNATIVES PLC
EMHF,FUNDLOGIC ALTERNATIVES PLC
JHEF,FUNDLOGIC ALTERNATIVES PLC
PHEF,FUNDLOGIC ALTERNATIVES PLC
USHF,FUNDLOGIC ALTERNATIVES PLC
USUF,FUNDLOGIC ALTERNATIVES PLC
FAB,FUSION ANTIBODIES PLC
FUM,FUTURA MEDICAL PLC
FME,FUTURE METALS NL
FUTR,FUTURE PLC
G3E,G3 EXPLORATION LIMITED
GMP,GABELLI MERGER PLUS+ TRUST PLC
GMPP,GABELLI MERGER PLUS+ TRUST PLC
GAIA,GAIL (INDIA) LD
GAID,GAIL (INDIA) LD
GAL,GALANTAS GOLD CORPORATION
GLR,GALILEO RESOURCES PLC
GFRD,GALLIFORD TRY HOLDINGS PLC
GMAA,GAMA AVIATION PLC
GAW,GAMES WORKSHOP GROUP PLC
GMR,GAMING REALMS PLC
GAMA,GAMMA COMMUNICATIONS PLC
GTLY,GATELEY (HOLDINGS) PLC
GATC,GATTACA PLC
GBG,GB GROUP PLC
GCM,GCM RESOURCES PLC
GABI,GCP ASSET BACKED INCOME FUND LIMITED
GCP,GCP INFRASTRUCTURE INVESTMENTS LIMITED
G4M,GEAR4MUSIC (HOLDINGS) PLC
GCL,GEIGER COUNTER LIMITED
GELN,GELION PLC
GEMD,GEM DIAMONDS LIMITED
GEM,GEMFIELDS GROUP LIMITED
GDR,GENEDRIVE PLC
GENL,GENEL ENERGY PLC
GACA,GENERAL ACCIDENT PLC
GACB,GENERAL ACCIDENT PLC
GEC,GENERAL ELECTRIC COMPANY
GENF,GENFLOW BIOSCIENCES PLC
GENI,GENINCODE PLC
GSP,GENSOURCE POTASH CORPORATION
GEN,GENUIT GROUP PLC
GNS,GENUS PLC
CGEO,GEORGIA CAPITAL PLC
GETB,GETBUSY PLC
GTC,GETECH GROUP PLC
GFIN,GFINITY PLC
GLB,GLANBIA PLC
GLAN,GLANTUS HOLDINGS PLC
GLEN,GLENCORE PLC
GLV,GLENVEAGH PROPERTIES PLC
DATA,GLOBALDATA PLC
GINV,GLOBAL INVACOM GROUP LIMITED
GOT,GLOBAL OPPORTUNITIES TRUST PLC
GBP,GLOBAL PETROLEUM LIMITED
GPH,GLOBAL PORTS HOLDING PLC
80GM,GLOBAL PORTS INVESTMENTS PLC
GLPR,GLOBAL PORTS INVESTMENTS PLC
38KH,GLOBALTRANS INVESTMENT PLC
GLTR,GLOBALTRANS INVESTMENT PLC
GWI,GLOBALWORTH REAL ESTATE INVESTMENTS LIMITED
AQWA,GLOBAL X ETFS ICAV
AQWG,GLOBAL X ETFS ICAV
BKCG,GLOBAL X ETFS ICAV
BKCH,GLOBAL X ETFS ICAV
BOTG,GLOBAL X ETFS ICAV
BOTZ,GLOBAL X ETFS ICAV
BUG,GLOBAL X ETFS ICAV
BUGG,GLOBAL X ETFS ICAV
CLO,GLOBAL X ETFS ICAV
CLO6,GLOBAL X ETFS ICAV
COPG,GLOBAL X ETFS ICAV
COPX,GLOBAL X ETFS ICAV
CTEG,GLOBAL X ETFS ICAV
CTEK,GLOBAL X ETFS ICAV
DMAD,GLOBAL X ETFS ICAV
DMAG,GLOBAL X ETFS ICAV
DMAT,GLOBAL X ETFS ICAV
DRVE,GLOBAL X ETFS ICAV
DRVG,GLOBAL X ETFS ICAV
EBIG,GLOBAL X ETFS ICAV
EBIZ,GLOBAL X ETFS ICAV
EDOC,GLOBAL X ETFS ICAV
EDOG,GLOBAL X ETFS ICAV
FING,GLOBAL X ETFS ICAV
FINX,GLOBAL X ETFS ICAV
GNOG,GLOBAL X ETFS ICAV
GNOM,GLOBAL X ETFS ICAV
HERG,GLOBAL X ETFS ICAV
HERU,GLOBAL X ETFS ICAV
HYGG,GLOBAL X ETFS ICAV
HYGN,GLOBAL X ETFS ICAV
KROG,GLOBAL X ETFS ICAV
KROP,GLOBAL X ETFS ICAV
LITG,GLOBAL X ETFS ICAV
LITU,GLOBAL X ETFS ICAV
PAVE,GLOBAL X ETFS ICAV
PAVG,GLOBAL X ETFS ICAV
QYLD,GLOBAL X ETFS ICAV
QYLP,GLOBAL X ETFS ICAV
QYLU,GLOBAL X ETFS ICAV
RAYG,GLOBAL X ETFS ICAV
RAYZ,GLOBAL X ETFS ICAV
RNRG,GLOBAL X ETFS ICAV
RNRU,GLOBAL X ETFS ICAV
SDIP,GLOBAL X ETFS ICAV
SDIU,GLOBAL X ETFS ICAV
SDIV,GLOBAL X ETFS ICAV
SILG,GLOBAL X ETFS ICAV
SILV,GLOBAL X ETFS ICAV
SNSG,GLOBAL X ETFS ICAV
SNSR,GLOBAL X ETFS ICAV
URND,GLOBAL X ETFS ICAV
URNG,GLOBAL X ETFS ICAV
URNU,GLOBAL X ETFS ICAV
VPN,GLOBAL X ETFS ICAV
VPNG,GLOBAL X ETFS ICAV
WNDG,GLOBAL X ETFS ICAV
WNDY,GLOBAL X ETFS ICAV
GPM,GOLDEN PROSPECT PRECIOUS METALS LIMITED
GCG,GOLDEN ROCK GLOBAL PLC
CBGB,GOLDMAN SACHS ETF ICAV
CBND,GOLDMAN SACHS ETF ICAV
GBPG,GOLDMAN SACHS ETF ICAV
GSEM,GOLDMAN SACHS ETF ICAV
GSLC,GOLDMAN SACHS ETF ICAV
WRLD,GOLDMAN SACHS ETF ICAV
GDP,GOLDPLAT PLC
GRL,GOLDSTONE RESOURCES LIMITED
GHH,GOOCH & HOUSEGO PLC
GOOD,GOOD ENERGY GROUP PLC
GDWN,GOODWIN PLC
GSF,GORE STREET ENERGY STORAGE FUND PLC
GRA,GRAFENIA PLC
GFTU,GRAFTON GROUP PLC
GPL,GRAFT POLYMER (UK) PLC
GRI,GRAINGER PLC
GFHG,GRAND FORTUNE HIGH GRADE LIMITED
GVMH,GRAND VISION MEDIA HOLDINGS PLC
GTE,GRAN TIERRA ENERGY INC.
GRC,GRC INTERNATIONAL GROUP PLC
GEEC,GREAT EASTERN ENERGY CORPORATION LIMITED
GGP,GREATLAND GOLD PLC
GPE,GREAT PORTLAND ESTATES PLC
GSCU,GREAT SOUTHERN COPPER PLC
GWMO,GREAT WESTERN MINING CORPORATION PLC
GRP,GREENCOAT RENEWABLES PLC
UKW,GREENCOAT UK WIND PLC
GNC,GREENCORE GROUP PLC
GROC,GREENROC MINING PLC
GRX,GREENX METALS LIMITED
GRG,GREGGS PLC
GRID,GRESHAM HOUSE ENERGY STORAGE FUND PLC
GHE,GRESHAM HOUSE PLC
GV1A,GRESHAM HOUSE RENEWABLE ENERGY VCT 1 PLC
GV1O,GRESHAM HOUSE RENEWABLE ENERGY VCT 1 PLC
GV2A,GRESHAM HOUSE RENEWABLE ENERGY VCT 2 PLC 
GV2O,GRESHAM HOUSE RENEWABLE ENERGY VCT 2 PLC 
GHT,GRESHAM TECHNOLOGIES PLC
GFM,GRIFFIN MINING LIMITED
GRIT,GRIT INVESTMENT TRUST PLC
GR1T,GRIT REAL ESTATE INCOME GROUP LIMITED
GRIO,GROUND RENTS INCOME FUND PLC
42KU,GRUPO CLARIN S.A.
GCLA,GRUPO CLARIN S.A.
GSC,GS CHAIN PLC
GSK,GSK PLC
GST,GSTECHNOLOGIES LTD
81GL,GUARANTY TRUST HOLDING COMPANY PLC
GTCO,GUARANTY TRUST HOLDING COMPANY PLC
GILD,GUILD ESPORTS PLC
GIF,GULF INVESTMENT FUND PLC
GKP,GULF KEYSTONE PETROLEUM LTD
GMS,GULF MARINE SERVICES PLC
GUN,GUNSYND PLC
GUS,GUSBOURNE PLC
HLN,HALEON PLC
HFD,HALFORDS GROUP PLC
HLMA,HALMA PLC
HAMA,HAMAK GOLD LIMITED
HPA1,HAMBRO PERKS ACQUISITION COMPANY LIMITED
HMSO,HAMMERSON PLC
86PB,HANATOUR SERVICE INC.
TOUR,HANATOUR SERVICE INC.
AMAL,HANETF ICAV
AMAP,HANETF ICAV
CBDP,HANETF ICAV
CBDX,HANETF ICAV
CLMA,HANETF ICAV
CLMP,HANETF ICAV
DGEN,HANETF ICAV
DGEP,HANETF ICAV
DIGI,HANETF ICAV
ELEC,HANETF ICAV
ELEP,HANETF ICAV
EMQP,HANETF ICAV
EMQQ,HANETF ICAV
ESGO,HANETF ICAV
ESGP,HANETF ICAV
FMQP,HANETF ICAV
FMQQ,HANETF ICAV
GFOF,HANETF ICAV
GFOP,HANETF ICAV
IBUY,HANETF ICAV
ITEK,HANETF ICAV
ITEP,HANETF ICAV
JETP,HANETF ICAV
JETS,HANETF ICAV
